mass_A
t	x	y
0.000000000E0	-5.612100553E-2	7.784094161E-1
1.000000000E-2	-5.576944493E-2	7.783835645E-1
2.000000000E-2	-5.505060177E-2	7.782112739E-1
3.000000000E-2	-5.428916744E-2	7.782203227E-1
4.000000000E-2	-5.345385682E-2	7.780546307E-1
5.000000000E-2	-5.235961857E-2	7.778499928E-1
6.000000000E-2	-5.031034790E-2	7.776679016E-1
7.000000000E-2	-4.903294432E-2	7.772242054E-1
8.000000000E-2	-4.745606485E-2	7.767965671E-1
9.000000000E-2	-4.543585492E-2	7.767414822E-1
1.000000000E-1	-4.282134187E-2	7.764725993E-1
1.100000000E-1	-4.057539138E-2	7.760094306E-1
1.200000000E-1	-3.830994469E-2	7.758099707E-1
1.300000000E-1	-3.577927483E-2	7.751940642E-1
1.400000000E-1	-3.342292688E-2	7.746201394E-1
1.500000000E-1	-3.085161793E-2	7.742090993E-1
1.600000000E-1	-2.778789917E-2	7.736516541E-1
1.700000000E-1	-2.467362818E-2	7.732714052E-1
1.800000000E-1	-2.139622131E-2	7.725988087E-1
1.900000000E-1	-1.822635494E-2	7.720499213E-1
2.000000000E-1	-1.479088247E-2	7.712618029E-1
2.100000000E-1	-1.123773986E-2	7.707892617E-1
2.200000000E-1	-7.302625651E-3	7.698380694E-1
2.300000000E-1	-3.477384767E-3	7.694176482E-1
2.400000000E-1	7.051966467E-4	7.685044048E-1
2.500000000E-1	4.805366594E-3	7.677807019E-1
2.600000000E-1	8.807994189E-3	7.671037663E-1
2.700000000E-1	1.317427775E-2	7.661131016E-1
2.800000000E-1	1.747254175E-2	7.653417676E-1
2.900000000E-1	2.203040288E-2	7.647239952E-1
3.000000000E-1	2.699202558E-2	7.637372345E-1
3.100000000E-1	3.134525912E-2	7.632975003E-1
3.200000000E-1	3.645794250E-2	7.622381638E-1
3.300000000E-1	4.150985719E-2	7.612293638E-1
3.400000000E-1	4.634284034E-2	7.607738056E-1
3.500000000E-1	5.151719138E-2	7.597446590E-1
3.600000000E-1	5.709536958E-2	7.586216548E-1
3.700000000E-1	6.281500347E-2	7.576995033E-1
3.800000000E-1	6.822364918E-2	7.567752295E-1
3.900000000E-1	7.402134448E-2	7.558706369E-1
4.000000000E-1	8.006802207E-2	7.547504992E-1
4.100000000E-1	8.611708998E-2	7.536665491E-1
4.200000000E-1	9.224667571E-2	7.526006226E-1
4.300000000E-1	9.836120538E-2	7.517716978E-1
4.400000000E-1	1.046857983E-1	7.508138291E-1
4.500000000E-1	1.112439885E-1	7.497170393E-1
4.600000000E-1	1.175046107E-1	7.484808968E-1
4.700000000E-1	1.238432289E-1	7.475196102E-1
4.800000000E-1	1.305433869E-1	7.471570921E-1
4.900000000E-1	1.382156167E-1	7.461691062E-1
5.000000000E-1	1.462112733E-1	7.438106933E-1
5.100000000E-1	1.529243464E-1	7.419556652E-1
5.200000000E-1	1.600620620E-1	7.406183776E-1
5.300000000E-1	1.675569355E-1	7.388112061E-1
5.400000000E-1	1.750628833E-1	7.372103631E-1
5.500000000E-1	1.826366456E-1	7.357679837E-1
5.600000000E-1	1.907399674E-1	7.337011582E-1
5.700000000E-1	1.989674827E-1	7.320979043E-1
5.800000000E-1	2.073847834E-1	7.299526861E-1
5.900000000E-1	2.154714225E-1	7.282927646E-1
6.000000000E-1	2.243460140E-1	7.260090663E-1
6.100000000E-1	2.325025301E-1	7.241686821E-1
6.200000000E-1	2.415369701E-1	7.221070082E-1
6.300000000E-1	2.505950958E-1	7.196499890E-1
6.400000000E-1	2.598677958E-1	7.172959117E-1
6.500000000E-1	2.693805006E-1	7.146960113E-1
6.600000000E-1	2.788274060E-1	7.121203431E-1
6.700000000E-1	2.884122629E-1	7.095800869E-1
6.800000000E-1	2.983211856E-1	7.068660810E-1
6.900000000E-1	3.080265449E-1	7.043141634E-1
7.000000000E-1	3.181107982E-1	7.015134512E-1
7.100000000E-1	3.287710241E-1	6.981445330E-1
7.200000000E-1	3.384126648E-1	6.964498898E-1
7.300000000E-1	3.513503122E-1	6.919850852E-1
7.400000000E-1	3.606797286E-1	6.883712095E-1
7.500000000E-1	3.717892535E-1	6.851714546E-1
7.600000000E-1	3.832631172E-1	6.814500688E-1
7.700000000E-1	3.949469544E-1	6.778080449E-1
7.800000000E-1	4.062167007E-1	6.746807995E-1
7.900000000E-1	4.180133864E-1	6.710752673E-1
8.000000000E-1	4.301239284E-1	6.673679480E-1
8.100000000E-1	4.426123716E-1	6.634744754E-1
8.200000000E-1	4.549452046E-1	6.596925122E-1
