mass_A
t	x	y
0.000000000E0	-4.219111726E-2	7.844827700E-1
1.000000000E-2	-4.098614742E-2	7.843268732E-1
2.000000000E-2	-3.961109149E-2	7.840959142E-1
3.000000000E-2	-3.713958219E-2	7.834735010E-1
4.000000000E-2	-3.521123161E-2	7.832713010E-1
5.000000000E-2	-3.307976619E-2	7.828654783E-1
6.000000000E-2	-3.025241006E-2	7.822435759E-1
7.000000000E-2	-2.786222350E-2	7.817637978E-1
8.000000000E-2	-2.493334588E-2	7.812333724E-1
9.000000000E-2	-2.234778461E-2	7.805387747E-1
1.000000000E-1	-1.958996773E-2	7.799858253E-1
1.100000000E-1	-1.611733966E-2	7.795062971E-1
1.200000000E-1	-1.305931660E-2	7.791658929E-1
1.300000000E-1	-9.600494740E-3	7.783168333E-1
1.400000000E-1	-6.369262834E-3	7.779370957E-1
1.500000000E-1	-2.563324318E-3	7.769885412E-1
1.600000000E-1	1.031689857E-3	7.765208017E-1
1.700000000E-1	5.183257893E-3	7.756196171E-1
1.800000000E-1	9.092667724E-3	7.750931083E-1
1.900000000E-1	1.337458056E-2	7.742897554E-1
2.000000000E-1	1.742676349E-2	7.737254129E-1
2.100000000E-1	2.178565827E-2	7.730011794E-1
2.200000000E-1	2.652578174E-2	7.719254085E-1
2.300000000E-1	3.077406968E-2	7.714328343E-1
2.400000000E-1	3.579801353E-2	7.704105514E-1
2.500000000E-1	4.062642395E-2	7.693414880E-1
2.600000000E-1	4.530778351E-2	7.688945701E-1
2.700000000E-1	5.042943467E-2	7.678506256E-1
2.800000000E-1	5.562335910E-2	7.668125494E-1
2.900000000E-1	6.073209541E-2	7.660734089E-1
3.000000000E-1	6.625619862E-2	7.652362915E-1
3.100000000E-1	7.171577405E-2	7.640762081E-1
3.200000000E-1	7.744585196E-2	7.630478697E-1
3.300000000E-1	8.336295316E-2	7.617747488E-1
3.400000000E-1	8.917056561E-2	7.610708927E-1
3.500000000E-1	9.539897807E-2	7.600694984E-1
3.600000000E-1	1.017606344E-1	7.588965869E-1
3.700000000E-1	1.079001503E-1	7.577102851E-1
3.800000000E-1	1.141884307E-1	7.564378716E-1
3.900000000E-1	1.206524149E-1	7.551041126E-1
4.000000000E-1	1.272409160E-1	7.537804581E-1
4.100000000E-1	1.335076086E-1	7.530290407E-1
4.200000000E-1	1.402971562E-1	7.524443690E-1
4.300000000E-1	1.480559084E-1	7.513618696E-1
4.400000000E-1	1.561575364E-1	7.489851814E-1
4.500000000E-1	1.630138843E-1	7.469854107E-1
4.600000000E-1	1.707550009E-1	7.453402258E-1
4.700000000E-1	1.780140739E-1	7.435736727E-1
4.800000000E-1	1.854489126E-1	7.420539265E-1
4.900000000E-1	1.931980111E-1	7.403435059E-1
5.000000000E-1	2.013397048E-1	7.383975845E-1
5.100000000E-1	2.093119911E-1	7.368144753E-1
5.200000000E-1	2.177916216E-1	7.346564016E-1
5.300000000E-1	2.262379700E-1	7.328755410E-1
5.400000000E-1	2.350559809E-1	7.306904909E-1
5.500000000E-1	2.438092484E-1	7.284777716E-1
5.600000000E-1	2.524430439E-1	7.263921120E-1
