mass_A
t	x	y
0.000000000E0	-3.937411864E-2	7.742203743E-1
1.000000000E-2	-3.891057581E-2	7.740491979E-1
2.000000000E-2	-3.788473052E-2	7.730071029E-1
3.000000000E-2	-3.657370857E-2	7.715151376E-1
4.000000000E-2	-3.453177526E-2	7.687030788E-1
5.000000000E-2	-3.240870723E-2	7.654802877E-1
6.000000000E-2	-3.010019850E-2	7.614070586E-1
7.000000000E-2	-2.716493690E-2	7.573842271E-1
8.000000000E-2	-2.394709097E-2	7.529382668E-1
9.000000000E-2	-2.002662122E-2	7.485543994E-1
1.000000000E-1	-1.589426044E-2	7.433330598E-1
1.100000000E-1	-1.160402275E-2	7.377889585E-1
1.200000000E-1	-6.478493991E-3	7.314162631E-1
1.300000000E-1	-1.171502893E-3	7.248799637E-1
1.400000000E-1	4.370960988E-3	7.180788372E-1
1.500000000E-1	1.075524722E-2	7.105460879E-1
1.600000000E-1	1.731122913E-2	7.028541507E-1
1.700000000E-1	2.399009621E-2	6.948304983E-1
1.800000000E-1	3.180012245E-2	6.862664176E-1
1.900000000E-1	3.984659710E-2	6.774728519E-1
2.000000000E-1	4.788161010E-2	6.680096674E-1
2.100000000E-1	5.676079363E-2	6.586879615E-1
2.200000000E-1	6.616275052E-2	6.489657608E-1
2.300000000E-1	7.540501475E-2	6.392887779E-1
2.400000000E-1	8.583870921E-2	6.288928068E-1
2.500000000E-1	9.652209272E-2	6.184862932E-1
2.600000000E-1	1.082009843E-1	6.072284683E-1
2.700000000E-1	1.197053100E-1	5.963885612E-1
2.800000000E-1	1.319661676E-1	5.851111986E-1
2.900000000E-1	1.448723818E-1	5.733547000E-1
3.000000000E-1	1.572782154E-1	5.629183677E-1
3.100000000E-1	1.714666678E-1	5.498114476E-1
3.200000000E-1	1.846422643E-1	5.380736817E-1
3.300000000E-1	1.992581132E-1	5.255078147E-1
3.400000000E-1	2.145854131E-1	5.123396562E-1
3.500000000E-1	2.296150051E-1	4.997747380E-1
3.600000000E-1	2.451975290E-1	4.866387914E-1
3.700000000E-1	2.615758448E-1	4.726170977E-1
3.800000000E-1	2.779522824E-1	4.594898349E-1
3.900000000E-1	2.951316016E-1	4.455724770E-1
4.000000000E-1	3.122340761E-1	4.312058933E-1
4.100000000E-1	3.297154205E-1	4.170627037E-1
4.200000000E-1	3.475729843E-1	4.023153618E-1
4.300000000E-1	3.676316941E-1	3.876255578E-1
4.400000000E-1	3.846327351E-1	3.720069794E-1
4.500000000E-1	4.037532460E-1	3.571213355E-1
4.600000000E-1	4.246656720E-1	3.420652697E-1
4.700000000E-1	4.454289447E-1	3.281965073E-1
4.800000000E-1	4.667929206E-1	3.136113542E-1
4.900000000E-1	4.892385233E-1	2.995912837E-1
5.000000000E-1	5.116346047E-1	2.862642853E-1
5.100000000E-1	5.348179062E-1	2.726108641E-1
5.200000000E-1	5.581975253E-1	2.594182000E-1
5.300000000E-1	5.821373442E-1	2.454372683E-1
5.400000000E-1	6.063285544E-1	2.324769963E-1
5.500000000E-1	6.312188761E-1	2.196038234E-1
5.600000000E-1	6.562882693E-1	2.068571312E-1
5.700000000E-1	6.824272232E-1	1.943330291E-1
5.800000000E-1	7.087174000E-1	1.826920133E-1
5.900000000E-1	7.350242024E-1	1.708478377E-1
6.000000000E-1	7.639406557E-1	1.592520211E-1
6.100000000E-1	7.900160811E-1	1.482891548E-1
6.200000000E-1	8.176570042E-1	1.371397088E-1
6.300000000E-1	8.450250193E-1	1.262248907E-1
6.400000000E-1	8.732510400E-1	1.157578747E-1
6.500000000E-1	9.020828149E-1	1.057753089E-1
6.600000000E-1	9.324917039E-1	9.487152529E-2
6.700000000E-1	9.606459085E-1	8.547150190E-2
6.800000000E-1	9.891867067E-1	7.520856758E-2
6.900000000E-1	1.018903416E0	6.517057980E-2
7.000000000E-1	1.048170690E0	5.612471291E-2
7.100000000E-1	1.077856226E0	4.816206775E-2
7.200000000E-1	1.108433577E0	4.126959055E-2
7.300000000E-1	1.139072815E0	3.593179290E-2
7.400000000E-1	1.170371126E0	3.133511958E-2
7.500000000E-1	1.201773318E0	2.859629628E-2
7.600000000E-1	1.233472529E0	2.662690363E-2
7.700000000E-1	1.265182568E0	2.590568658E-2
7.800000000E-1	1.297033682E0	2.581682123E-2
7.900000000E-1	1.327784521E0	2.639272003E-2
