mass_A
t	x	y
0.000000000E0	-4.348270696E-2	7.769379153E-1
1.000000000E-2	-4.316864965E-2	7.767706222E-1
2.000000000E-2	-4.220335272E-2	7.757471555E-1
3.000000000E-2	-4.097690908E-2	7.741136005E-1
4.000000000E-2	-3.935344220E-2	7.719265081E-1
5.000000000E-2	-3.721079740E-2	7.683246303E-1
6.000000000E-2	-3.518328458E-2	7.647042101E-1
7.000000000E-2	-3.258755387E-2	7.610713387E-1
8.000000000E-2	-2.918929648E-2	7.566743259E-1
9.000000000E-2	-2.580007906E-2	7.522751334E-1
1.000000000E-1	-2.192822851E-2	7.472078431E-1
1.100000000E-1	-1.779237917E-2	7.418097685E-1
1.200000000E-1	-1.299368997E-2	7.354752665E-1
1.300000000E-1	-7.788780790E-3	7.289996498E-1
1.400000000E-1	-2.352384269E-3	7.222853904E-1
1.500000000E-1	4.024524523E-3	7.146625295E-1
1.600000000E-1	1.059138322E-2	7.068542728E-1
1.700000000E-1	1.733999321E-2	6.989511482E-1
1.800000000E-1	2.435833234E-2	6.908334641E-1
1.900000000E-1	3.238175739E-2	6.822746616E-1
2.000000000E-1	4.070381372E-2	6.727737124E-1
2.100000000E-1	4.915855431E-2	6.636268008E-1
2.200000000E-1	5.842959833E-2	6.537012567E-1
2.300000000E-1	6.771825891E-2	6.439762386E-1
2.400000000E-1	7.801771189E-2	6.335852890E-1
2.500000000E-1	8.865548963E-2	6.232306261E-1
2.600000000E-1	9.943391694E-2	6.126989498E-1
2.700000000E-1	1.112102283E-1	6.015419261E-1
2.800000000E-1	1.233143148E-1	5.901914033E-1
2.900000000E-1	1.360679031E-1	5.783203682E-1
3.000000000E-1	1.488550750E-1	5.667056532E-1
3.100000000E-1	1.635175211E-1	5.543183632E-1
3.200000000E-1	1.759418638E-1	5.426667849E-1
3.300000000E-1	1.903268200E-1	5.301954538E-1
3.400000000E-1	2.053853926E-1	5.172271923E-1
3.500000000E-1	2.205100801E-1	5.042514017E-1
3.600000000E-1	2.359943886E-1	4.910019476E-1
3.700000000E-1	2.520266559E-1	4.777468537E-1
3.800000000E-1	2.688588917E-1	4.641576747E-1
3.900000000E-1	2.853282903E-1	4.507172120E-1
4.000000000E-1	3.024644588E-1	4.365582194E-1
4.100000000E-1	3.203189057E-1	4.221901912E-1
4.200000000E-1	3.385865656E-1	4.069722641E-1
4.300000000E-1	3.565402248E-1	3.931466777E-1
4.400000000E-1	3.752426176E-1	3.772337471E-1
4.500000000E-1	3.945009434E-1	3.619162516E-1
4.600000000E-1	4.143579534E-1	3.472658902E-1
4.700000000E-1	4.353858382E-1	3.324113070E-1
4.800000000E-1	4.565389193E-1	3.179984329E-1
4.900000000E-1	4.787690078E-1	3.040414596E-1
5.000000000E-1	5.008730989E-1	2.901802100E-1
5.100000000E-1	5.242475711E-1	2.763135369E-1
5.200000000E-1	5.473848062E-1	2.633246042E-1
5.300000000E-1	5.721998602E-1	2.495203852E-1
5.400000000E-1	5.955096624E-1	2.363137420E-1
5.500000000E-1	6.202943080E-1	2.233433066E-1
5.600000000E-1	6.453542329E-1	2.105255459E-1
5.700000000E-1	6.702935729E-1	1.987073020E-1
5.800000000E-1	6.963374033E-1	1.866769920E-1
5.900000000E-1	7.225139576E-1	1.748145885E-1
6.000000000E-1	7.480029710E-1	1.638957710E-1
6.100000000E-1	7.764123150E-1	1.518265069E-1
6.200000000E-1	8.038335273E-1	1.411994489E-1
6.300000000E-1	8.314237408E-1	1.295903920E-1
6.400000000E-1	8.600014761E-1	1.183759420E-1
6.500000000E-1	8.889089587E-1	1.083034305E-1
6.600000000E-1	9.175197521E-1	9.768156648E-2
6.700000000E-1	9.445519031E-1	8.918641287E-2
6.800000000E-1	9.753926588E-1	7.721256768E-2
6.900000000E-1	1.005166656E0	6.694007046E-2
7.000000000E-1	1.035467573E0	5.702080969E-2
7.100000000E-1	1.065212350E0	4.895215308E-2
7.200000000E-1	1.095237105E0	4.137683964E-2
7.300000000E-1	1.124985526E0	3.543466594E-2
7.400000000E-1	1.156657312E0	3.116904300E-2
7.500000000E-1	1.187469655E0	2.741262356E-2
7.600000000E-1	1.219093162E0	2.545865957E-2
7.700000000E-1	1.250758129E0	2.450950284E-2
7.800000000E-1	1.282435977E0	2.404562212E-2
7.900000000E-1	1.314529292E0	2.417150350E-2
8.000000000E-1	1.345791191E0	2.380155270E-2
