mass_A
t	x	y
0.000000000E0	-3.663143593E-2	7.776553866E-1
1.000000000E-2	-3.622744593E-2	7.771632383E-1
2.000000000E-2	-3.537852164E-2	7.760077277E-1
3.000000000E-2	-3.389259001E-2	7.738124291E-1
4.000000000E-2	-3.206690239E-2	7.710970248E-1
5.000000000E-2	-2.993717018E-2	7.669628856E-1
6.000000000E-2	-2.718103478E-2	7.631640426E-1
7.000000000E-2	-2.359220903E-2	7.584779807E-1
8.000000000E-2	-2.020572139E-2	7.542952603E-1
9.000000000E-2	-1.649710476E-2	7.492942400E-1
1.000000000E-1	-1.232420148E-2	7.437341824E-1
1.100000000E-1	-7.568805584E-3	7.374744616E-1
1.200000000E-1	-2.385135275E-3	7.309632314E-1
1.300000000E-1	3.017598704E-3	7.241728601E-1
1.400000000E-1	9.245631402E-3	7.165555316E-1
1.500000000E-1	1.570513528E-2	7.088225319E-1
1.600000000E-1	2.241113750E-2	7.008615629E-1
1.700000000E-1	2.934254570E-2	6.926864365E-1
1.800000000E-1	3.726964803E-2	6.840089376E-1
1.900000000E-1	4.542170284E-2	6.747461245E-1
2.000000000E-1	5.383906870E-2	6.652311704E-1
2.100000000E-1	6.308576118E-2	6.554107470E-1
2.200000000E-1	7.233739056E-2	6.457549173E-1
2.300000000E-1	8.242111801E-2	6.352153177E-1
2.400000000E-1	9.310063539E-2	6.247246224E-1
2.500000000E-1	1.039802042E-1	6.142821753E-1
2.600000000E-1	1.156140925E-1	6.031375078E-1
2.700000000E-1	1.275538936E-1	5.917668015E-1
2.800000000E-1	1.401683062E-1	5.797545526E-1
2.900000000E-1	1.525079360E-1	5.687614062E-1
3.000000000E-1	1.670619581E-1	5.560558399E-1
3.100000000E-1	1.796965677E-1	5.442328244E-1
3.200000000E-1	1.940207272E-1	5.314849517E-1
3.300000000E-1	2.089828889E-1	5.184659628E-1
3.400000000E-1	2.241675399E-1	5.055827168E-1
3.500000000E-1	2.394113237E-1	4.925211850E-1
3.600000000E-1	2.548385973E-1	4.789050458E-1
3.700000000E-1	2.716910232E-1	4.652611536E-1
3.800000000E-1	2.886331016E-1	4.518982185E-1
3.900000000E-1	3.056529518E-1	4.370930690E-1
4.000000000E-1	3.232397926E-1	4.225997961E-1
4.100000000E-1	3.412409500E-1	4.079266968E-1
4.200000000E-1	3.589253183E-1	3.938244112E-1
4.300000000E-1	3.779438140E-1	3.769668656E-1
4.400000000E-1	3.968135875E-1	3.625384377E-1
4.500000000E-1	4.170244324E-1	3.466050648E-1
4.600000000E-1	4.374107134E-1	3.324500550E-1
4.700000000E-1	4.588402933E-1	3.180561987E-1
4.800000000E-1	4.805086662E-1	3.037041043E-1
4.900000000E-1	5.029871286E-1	2.898988611E-1
5.000000000E-1	5.259425177E-1	2.763123211E-1
5.100000000E-1	5.495293930E-1	2.619285194E-1
5.200000000E-1	5.731996587E-1	2.489033700E-1
5.300000000E-1	5.971073172E-1	2.350519849E-1
5.400000000E-1	6.216194035E-1	2.218911627E-1
5.500000000E-1	6.467264326E-1	2.091251250E-1
5.600000000E-1	6.718872853E-1	1.960609342E-1
5.700000000E-1	6.978902818E-1	1.845430239E-1
5.800000000E-1	7.243416455E-1	1.726758149E-1
5.900000000E-1	7.501295892E-1	1.614525497E-1
6.000000000E-1	7.786399366E-1	1.496292006E-1
6.100000000E-1	8.062083947E-1	1.378557485E-1
6.200000000E-1	8.331864660E-1	1.272895622E-1
6.300000000E-1	8.610191661E-1	1.165939424E-1
6.400000000E-1	8.893134669E-1	1.066142197E-1
6.500000000E-1	9.177605866E-1	9.618853989E-2
6.600000000E-1	9.446254636E-1	8.701831634E-2
6.700000000E-1	9.759388701E-1	7.552895309E-2
6.800000000E-1	1.005077214E0	6.524455022E-2
6.900000000E-1	1.034478047E0	5.609566684E-2
7.000000000E-1	1.064330559E0	4.714507038E-2
7.100000000E-1	1.094874321E0	3.964008299E-2
7.200000000E-1	1.125032148E0	3.337097358E-2
7.300000000E-1	1.156877219E0	2.817295484E-2
7.400000000E-1	1.187992873E0	2.420739126E-2
7.500000000E-1	1.219710768E0	2.177221476E-2
7.600000000E-1	1.251672727E0	2.017003270E-2
7.700000000E-1	1.282790050E0	2.029487538E-2
7.800000000E-1	1.315492038E0	2.006542314E-2
7.900000000E-1	1.344130430E0	2.001788777E-2
