mass_A
t	x	y
1.000000000E-2	-4.483063016E-2	7.769633007E-1
2.000000000E-2	-4.441496825E-2	7.766841565E-1
3.000000000E-2	-4.349247003E-2	7.756439406E-1
4.000000000E-2	-4.226980257E-2	7.739747024E-1
5.000000000E-2	-4.049183993E-2	7.720821332E-1
6.000000000E-2	-3.809500105E-2	7.684127695E-1
7.000000000E-2	-3.598762580E-2	7.641447383E-1
8.000000000E-2	-3.296881252E-2	7.599212160E-1
9.000000000E-2	-3.000373835E-2	7.558953886E-1
1.000000000E-1	-2.624079111E-2	7.512195089E-1
1.100000000E-1	-2.223418875E-2	7.459904088E-1
1.200000000E-1	-1.803135405E-2	7.405296714E-1
1.300000000E-1	-1.302052098E-2	7.344086064E-1
1.400000000E-1	-7.751386973E-3	7.278290591E-1
1.500000000E-1	-2.257636420E-3	7.210184067E-1
1.600000000E-1	4.157186164E-3	7.133060379E-1
1.700000000E-1	1.080036980E-2	7.055435297E-1
1.800000000E-1	1.746608179E-2	6.975931397E-1
1.900000000E-1	2.515176577E-2	6.890215404E-1
2.000000000E-1	3.296423598E-2	6.805079096E-1
2.100000000E-1	4.116753214E-2	6.713140080E-1
2.200000000E-1	5.032355314E-2	6.615481530E-1
2.300000000E-1	5.943733691E-2	6.518477970E-1
2.400000000E-1	6.921492210E-2	6.420645239E-1
2.500000000E-1	7.942836822E-2	6.315832711E-1
2.600000000E-1	8.995577775E-2	6.209730977E-1
2.700000000E-1	1.016307878E-1	6.096529829E-1
2.800000000E-1	1.129848267E-1	5.989679701E-1
2.900000000E-1	1.251940556E-1	5.873720490E-1
3.000000000E-1	1.377107404E-1	5.759555929E-1
3.100000000E-1	1.505874616E-1	5.644840118E-1
3.200000000E-1	1.653807493E-1	5.512945968E-1
3.300000000E-1	1.782175667E-1	5.393733469E-1
3.400000000E-1	1.927211553E-1	5.267134455E-1
3.500000000E-1	2.078576719E-1	5.136322055E-1
3.600000000E-1	2.230688572E-1	5.005758005E-1
3.700000000E-1	2.388232533E-1	4.875562935E-1
3.800000000E-1	2.547367611E-1	4.741842454E-1
3.900000000E-1	2.710971081E-1	4.602890714E-1
4.000000000E-1	2.878127019E-1	4.467843758E-1
4.100000000E-1	3.054462904E-1	4.330372854E-1
4.200000000E-1	3.233780087E-1	4.175795463E-1
4.300000000E-1	3.410752569E-1	4.031519250E-1
4.400000000E-1	3.595812869E-1	3.906473504E-1
4.500000000E-1	3.776874753E-1	3.731807947E-1
4.600000000E-1	3.972878418E-1	3.579550306E-1
4.700000000E-1	4.177151835E-1	3.432176448E-1
4.800000000E-1	4.387672998E-1	3.278854833E-1
4.900000000E-1	4.600868675E-1	3.139527527E-1
5.000000000E-1	4.823499522E-1	3.007075634E-1
5.100000000E-1	5.047812837E-1	2.861630632E-1
5.200000000E-1	5.280231807E-1	2.731397049E-1
5.300000000E-1	5.514632415E-1	2.593363316E-1
5.400000000E-1	5.749692203E-1	2.465372994E-1
5.500000000E-1	5.987616043E-1	2.336031925E-1
5.600000000E-1	6.235989446E-1	2.197241173E-1
5.700000000E-1	6.485249158E-1	2.078057704E-1
5.800000000E-1	6.747080529E-1	1.951954394E-1
5.900000000E-1	7.007671421E-1	1.825667290E-1
6.000000000E-1	7.272619098E-1	1.719914667E-1
6.100000000E-1	7.538293140E-1	1.608943471E-1
6.200000000E-1	7.817074695E-1	1.493412681E-1
6.300000000E-1	8.089885906E-1	1.386010884E-1
6.400000000E-1	8.362665686E-1	1.268706741E-1
6.500000000E-1	8.645992507E-1	1.164456030E-1
6.600000000E-1	8.929426219E-1	1.068070864E-1
6.700000000E-1	9.209325990E-1	9.694071392E-2
6.800000000E-1	1.007052632E0	6.402921329E-2
6.900000000E-1	9.792163161E-1	7.711641838E-2
7.000000000E-1	1.022235176E0	6.036901368E-2
7.100000000E-1	1.037674160E0	5.802152258E-2
7.200000000E-1	1.068138762E0	4.925004439E-2
7.300000000E-1	1.098666856E0	4.194409805E-2
7.400000000E-1	1.129331869E0	3.607709236E-2
7.500000000E-1	1.160096300E0	3.141397251E-2
7.600000000E-1	1.191933138E0	2.768571564E-2
7.700000000E-1	1.223485753E0	2.598747611E-2
7.800000000E-1	1.255921282E0	2.479755159E-2
7.900000000E-1	1.287003368E0	2.440836695E-2
8.000000000E-1	1.319269799E0	2.519475961E-2
8.100000000E-1	1.348314651E0	2.270780556E-2
