mass_A
t	x	y
1.000000000E-2	-4.363911405E-2	7.765232544E-1
2.000000000E-2	-4.251148014E-2	7.754795955E-1
3.000000000E-2	-4.123863406E-2	7.740495031E-1
4.000000000E-2	-3.937355973E-2	7.718694024E-1
5.000000000E-2	-3.751508515E-2	7.685650298E-1
6.000000000E-2	-3.528989476E-2	7.651477829E-1
7.000000000E-2	-3.267807976E-2	7.613136442E-1
8.000000000E-2	-2.950492520E-2	7.567759178E-1
9.000000000E-2	-2.546733617E-2	7.521026241E-1
1.000000000E-1	-2.126767406E-2	7.468826418E-1
1.100000000E-1	-1.699247420E-2	7.415218654E-1
1.200000000E-1	-1.188003146E-2	7.354428187E-1
1.300000000E-1	-6.562798525E-3	7.288115338E-1
1.400000000E-1	-1.091294879E-3	7.219996583E-1
1.500000000E-1	5.304392514E-3	7.144220567E-1
1.600000000E-1	1.189919943E-2	7.066630854E-1
1.700000000E-1	1.867386815E-2	6.986525001E-1
1.800000000E-1	2.583412676E-2	6.905909256E-1
1.900000000E-1	3.399926323E-2	6.819142019E-1
2.000000000E-1	4.209153319E-2	6.723031110E-1
2.100000000E-1	5.069118935E-2	6.633615284E-1
2.200000000E-1	6.005000709E-2	6.534574002E-1
2.300000000E-1	6.935252661E-2	6.437804672E-1
2.400000000E-1	7.972485620E-2	6.333808011E-1
2.500000000E-1	9.036042129E-2	6.229924219E-1
2.600000000E-1	1.019416195E-1	6.117863847E-1
2.700000000E-1	1.131433014E-1	6.012312555E-1
2.800000000E-1	1.253139965E-1	5.897743000E-1
2.900000000E-1	1.380224498E-1	5.780179737E-1
3.000000000E-1	1.508878519E-1	5.665278724E-1
3.100000000E-1	1.657653521E-1	5.536208876E-1
3.200000000E-1	1.785173107E-1	5.416199134E-1
3.300000000E-1	1.924789283E-1	5.295955436E-1
3.400000000E-1	2.081809076E-1	5.163202935E-1
3.500000000E-1	2.227912792E-1	5.039065358E-1
3.600000000E-1	2.387167988E-1	4.901520837E-1
3.700000000E-1	2.545364645E-1	4.769047696E-1
3.800000000E-1	2.713086788E-1	4.636258739E-1
3.900000000E-1	2.885418141E-1	4.495818758E-1
4.000000000E-1	3.056866635E-1	4.350140948E-1
4.100000000E-1	3.232937874E-1	4.212538967E-1
4.200000000E-1	3.414860773E-1	4.063991170E-1
4.300000000E-1	3.591076617E-1	3.924502458E-1
4.400000000E-1	3.785718635E-1	3.761103014E-1
4.500000000E-1	3.982272252E-1	3.606586240E-1
4.600000000E-1	4.180434880E-1	3.458110642E-1
4.700000000E-1	4.389223017E-1	3.316941627E-1
4.800000000E-1	4.606447207E-1	3.171578231E-1
4.900000000E-1	4.823107981E-1	3.035482691E-1
5.000000000E-1	5.053531322E-1	2.897000516E-1
5.100000000E-1	5.286938290E-1	2.754084792E-1
5.200000000E-1	5.520885063E-1	2.623947702E-1
5.300000000E-1	5.757131025E-1	2.494983177E-1
5.400000000E-1	6.000131678E-1	2.354837574E-1
5.500000000E-1	6.248632075E-1	2.226228794E-1
5.600000000E-1	6.501960761E-1	2.096440377E-1
5.700000000E-1	6.753307325E-1	1.975886456E-1
5.800000000E-1	7.017623235E-1	1.863939178E-1
5.900000000E-1	7.287234767E-1	1.741828461E-1
6.000000000E-1	7.542618099E-1	1.638820028E-1
6.100000000E-1	7.821573964E-1	1.517086270E-1
6.200000000E-1	8.101358160E-1	1.409098477E-1
6.300000000E-1	8.376157188E-1	1.303039084E-1
6.400000000E-1	8.660944805E-1	1.190777616E-1
6.500000000E-1	8.941555081E-1	1.099334949E-1
6.600000000E-1	9.227801916E-1	9.966025627E-2
6.700000000E-1	9.506236532E-1	9.111426445E-2
6.800000000E-1	9.808282160E-1	7.934620692E-2
6.900000000E-1	1.009889055E0	7.033077331E-2
7.000000000E-1	1.039908681E0	6.045975703E-2
7.100000000E-1	1.069284429E0	5.259237600E-2
7.200000000E-1	1.100101702E0	4.518520731E-2
7.300000000E-1	1.130692334E0	3.923773885E-2
7.400000000E-1	1.162269434E0	3.439897425E-2
7.500000000E-1	1.193642982E0	3.089001730E-2
7.600000000E-1	1.225410666E0	2.855099425E-2
7.700000000E-1	1.257468932E0	2.737938801E-2
7.800000000E-1	1.289088112E0	2.753469026E-2
7.900000000E-1	1.321326467E0	2.689260451E-2
8.000000000E-1	1.347440557E0	2.552475980E-2
