mass_A
t	x	y
0.000000000E0	-3.897230463E-2	7.752991212E-1
1.000000000E-2	-3.796484233E-2	7.746347131E-1
2.000000000E-2	-3.706888702E-2	7.738943763E-1
3.000000000E-2	-3.595924521E-2	7.726673915E-1
4.000000000E-2	-3.445529383E-2	7.704550155E-1
5.000000000E-2	-3.277230775E-2	7.664690035E-1
6.000000000E-2	-3.005527326E-2	7.628585116E-1
7.000000000E-2	-2.712915387E-2	7.589574623E-1
8.000000000E-2	-2.394702392E-2	7.542204755E-1
9.000000000E-2	-2.024290332E-2	7.495164902E-1
1.000000000E-1	-1.617740400E-2	7.443242326E-1
1.100000000E-1	-1.187716485E-2	7.383318391E-1
1.200000000E-1	-6.574625727E-3	7.323106973E-1
1.300000000E-1	-1.004295673E-3	7.258154980E-1
1.400000000E-1	4.625370363E-3	7.190601121E-1
1.500000000E-1	1.104278995E-2	7.115644879E-1
1.600000000E-1	1.770917589E-2	7.039351453E-1
1.700000000E-1	2.447948859E-2	6.959699178E-1
1.800000000E-1	3.228284485E-2	6.874521817E-1
1.900000000E-1	4.007430147E-2	6.786009952E-1
2.000000000E-1	4.824268436E-2	6.694354360E-1
2.100000000E-1	5.737071562E-2	6.599075039E-1
2.200000000E-1	6.650734625E-2	6.503919278E-1
2.300000000E-1	7.620687698E-2	6.405008795E-1
2.400000000E-1	8.640462836E-2	6.298771553E-1
2.500000000E-1	9.709815609E-2	6.194732553E-1
2.600000000E-1	1.087200858E-1	6.083630237E-1
2.700000000E-1	1.202421696E-1	5.973031207E-1
2.800000000E-1	1.324213672E-1	5.859198803E-1
2.900000000E-1	1.453514769E-1	5.741364154E-1
3.000000000E-1	1.580531937E-1	5.638716689E-1
3.100000000E-1	1.717247625E-1	5.506267464E-1
3.200000000E-1	1.849869750E-1	5.387350227E-1
3.300000000E-1	1.997731207E-1	5.260350757E-1
3.400000000E-1	2.151166968E-1	5.129726760E-1
3.500000000E-1	2.300838557E-1	5.003928784E-1
3.600000000E-1	2.456704693E-1	4.871485297E-1
3.700000000E-1	2.618390626E-1	4.734067044E-1
3.800000000E-1	2.783388659E-1	4.599766207E-1
3.900000000E-1	2.955995337E-1	4.460577427E-1
4.000000000E-1	3.126619558E-1	4.314988167E-1
4.100000000E-1	3.298993603E-1	4.174570031E-1
4.200000000E-1	3.472322732E-1	4.032369683E-1
4.300000000E-1	3.663944940E-1	3.878474122E-1
4.400000000E-1	3.831736838E-1	3.730584861E-1
4.500000000E-1	4.021509306E-1	3.585805999E-1
4.600000000E-1	4.229661656E-1	3.434057863E-1
4.700000000E-1	4.437874859E-1	3.292084604E-1
4.800000000E-1	4.649486989E-1	3.148900103E-1
4.900000000E-1	4.871776961E-1	3.008884326E-1
5.000000000E-1	5.096311209E-1	2.876812951E-1
5.100000000E-1	5.327332324E-1	2.738986799E-1
5.200000000E-1	5.557471586E-1	2.603343197E-1
5.300000000E-1	5.800692030E-1	2.471935234E-1
5.400000000E-1	6.034971109E-1	2.334472457E-1
5.500000000E-1	6.280823151E-1	2.206094942E-1
5.600000000E-1	6.534885114E-1	2.079411911E-1
5.700000000E-1	6.788932642E-1	1.948808212E-1
5.800000000E-1	7.053631961E-1	1.834127506E-1
5.900000000E-1	7.306514016E-1	1.722147817E-1
6.000000000E-1	7.580313034E-1	1.613960073E-1
6.100000000E-1	7.846008870E-1	1.498431792E-1
6.200000000E-1	8.120155182E-1	1.387470337E-1
6.300000000E-1	8.392643860E-1	1.281242198E-1
6.400000000E-1	8.669314034E-1	1.177392863E-1
6.500000000E-1	8.954864935E-1	1.077261939E-1
6.600000000E-1	9.240365109E-1	9.739606746E-2
6.700000000E-1	9.518910974E-1	8.867668191E-2
6.800000000E-1	9.822061963E-1	7.722372449E-2
6.900000000E-1	1.010733508E0	6.786989219E-2
7.000000000E-1	1.040741210E0	5.799467337E-2
7.100000000E-1	1.070094823E0	5.000070512E-2
7.200000000E-1	1.100838851E0	4.263829522E-2
7.300000000E-1	1.131339174E0	3.684027931E-2
7.400000000E-1	1.162356421E0	3.212202411E-2
7.500000000E-1	1.193882415E0	2.902000544E-2
7.600000000E-1	1.225579516E0	2.671396575E-2
7.700000000E-1	1.257499591E0	2.567017951E-2
7.800000000E-1	1.288786190E0	2.590610254E-2
7.900000000E-1	1.320241537E0	2.567061222E-2
