mass_A
t	x	y
0.000000000E0	-4.131770782E-2	7.785416266E-1
1.000000000E-2	-4.131770782E-2	7.785416266E-1
2.000000000E-2	-4.013998014E-2	7.774488126E-1
3.000000000E-2	-3.887152649E-2	7.759532567E-1
4.000000000E-2	-3.696006500E-2	7.737908046E-1
5.000000000E-2	-3.511830691E-2	7.701500281E-1
6.000000000E-2	-3.266945812E-2	7.666345133E-1
7.000000000E-2	-2.972354860E-2	7.629013673E-1
8.000000000E-2	-2.658771469E-2	7.589745190E-1
9.000000000E-2	-2.284856537E-2	7.542496012E-1
1.000000000E-1	-1.917621817E-2	7.494163206E-1
1.100000000E-1	-1.468234135E-2	7.438945613E-1
1.200000000E-1	-9.669798242E-3	7.374925399E-1
1.300000000E-1	-4.402551381E-3	7.307681695E-1
1.400000000E-1	1.027063926E-3	7.238920976E-1
1.500000000E-1	7.392560944E-3	7.162179579E-1
1.600000000E-1	1.399207395E-2	7.084914809E-1
1.700000000E-1	2.063007384E-2	7.005157111E-1
1.800000000E-1	2.763974906E-2	6.925137497E-1
1.900000000E-1	3.572571819E-2	6.838714900E-1
2.000000000E-1	4.398328473E-2	6.742733102E-1
2.100000000E-1	5.251953601E-2	6.652436214E-1
2.200000000E-1	6.184693126E-2	6.553480010E-1
2.300000000E-1	7.185571210E-2	6.450993793E-1
2.400000000E-1	8.139293850E-2	6.349950033E-1
2.500000000E-1	9.264516226E-2	6.239882947E-1
2.600000000E-1	1.037062397E-1	6.134994777E-1
2.700000000E-1	1.155466373E-1	6.023349857E-1
2.800000000E-1	1.272393231E-1	5.912490875E-1
2.900000000E-1	1.397808593E-1	5.798327337E-1
3.000000000E-1	1.525127391E-1	5.681868308E-1
3.100000000E-1	1.671474380E-1	5.552727463E-1
3.200000000E-1	1.798656063E-1	5.434458791E-1
3.300000000E-1	1.943342456E-1	5.307003801E-1
3.400000000E-1	2.093568336E-1	5.177332161E-1
3.500000000E-1	2.246210440E-1	5.048749531E-1
3.600000000E-1	2.402336743E-1	4.916752627E-1
3.700000000E-1	2.563824164E-1	4.777943176E-1
3.800000000E-1	2.724111441E-1	4.644963831E-1
3.900000000E-1	2.892787202E-1	4.513155161E-1
4.000000000E-1	3.065327146E-1	4.369302921E-1
4.100000000E-1	3.245085767E-1	4.216893458E-1
4.200000000E-1	3.426952004E-1	4.073343683E-1
4.300000000E-1	3.614030911E-1	3.948429736E-1
4.400000000E-1	3.797001160E-1	3.764867023E-1
4.500000000E-1	3.986036974E-1	3.620599193E-1
4.600000000E-1	4.192964639E-1	3.466539162E-1
4.700000000E-1	4.393787137E-1	3.321254780E-1
4.800000000E-1	4.611943503E-1	3.180840005E-1
4.900000000E-1	4.834223828E-1	3.038055338E-1
5.000000000E-1	5.058288762E-1	2.896644491E-1
5.100000000E-1	5.286396537E-1	2.767512442E-1
5.200000000E-1	5.525114764E-1	2.626067980E-1
5.300000000E-1	5.761011820E-1	2.497809269E-1
5.400000000E-1	5.999064772E-1	2.367028026E-1
5.500000000E-1	6.243340955E-1	2.225799963E-1
5.600000000E-1	6.491057771E-1	2.105606855E-1
5.700000000E-1	6.750800919E-1	1.977821871E-1
5.800000000E-1	7.004814546E-1	1.861965708E-1
5.900000000E-1	7.273363776E-1	1.744952814E-1
6.000000000E-1	7.535691586E-1	1.636122241E-1
6.100000000E-1	7.818313773E-1	1.522399813E-1
6.200000000E-1	8.093683645E-1	1.406253346E-1
6.300000000E-1	8.363140375E-1	1.293471377E-1
6.400000000E-1	8.647327525E-1	1.195634613E-1
6.500000000E-1	8.928585176E-1	1.092168741E-1
6.600000000E-1	9.211134673E-1	9.909750942E-2
6.700000000E-1	9.488510702E-1	9.010065609E-2
6.800000000E-1	9.798153536E-1	7.915744069E-2
6.900000000E-1	1.008563382E0	6.846321150E-2
7.000000000E-1	1.037572341E0	5.919264533E-2
7.100000000E-1	1.068057492E0	5.040582046E-2
7.200000000E-1	1.098659489E0	4.299615440E-2
7.300000000E-1	1.129264592E0	3.702819094E-2
7.400000000E-1	1.160692297E0	3.216340804E-2
7.500000000E-1	1.192072599E0	2.832002584E-2
7.600000000E-1	1.223298175E0	2.655636670E-2
7.700000000E-1	1.255817018E0	2.477925283E-2
7.800000000E-1	1.286983695E0	2.465718451E-2
7.900000000E-1	1.319392568E0	2.481429503E-2
