mass_A
t	x	y
0.000000000E0	-4.220046453E-2	7.746276223E-1
1.000000000E-2	-3.957920746E-2	7.736649109E-1
2.000000000E-2	-3.764621099E-2	7.716208618E-1
3.000000000E-2	-3.502530886E-2	7.677884178E-1
4.000000000E-2	-3.196917704E-2	7.629426987E-1
5.000000000E-2	-2.885363190E-2	7.592741738E-1
6.000000000E-2	-2.511747056E-2	7.545027567E-1
7.000000000E-2	-2.109371340E-2	7.490744815E-1
8.000000000E-2	-1.686246003E-2	7.435013715E-1
9.000000000E-2	-1.186235513E-2	7.371630620E-1
1.000000000E-1	-6.599461289E-3	7.306919478E-1
1.100000000E-1	-1.146895756E-3	7.239312331E-1
1.200000000E-1	5.233480025E-3	7.163948308E-1
1.300000000E-1	1.185673626E-2	7.085987429E-1
1.400000000E-1	1.867437436E-2	7.005283438E-1
1.500000000E-1	2.635295484E-2	6.918160978E-1
1.600000000E-1	3.451912667E-2	6.832490697E-1
1.700000000E-1	4.248633345E-2	6.738324937E-1
1.800000000E-1	5.123030287E-2	6.642987919E-1
1.900000000E-1	6.062994416E-2	6.542114330E-1
2.000000000E-1	7.071170839E-2	6.438333586E-1
2.100000000E-1	8.110883974E-2	6.333425506E-1
2.200000000E-1	9.191700749E-2	6.228768823E-1
2.300000000E-1	1.027264075E-1	6.122414166E-1
2.400000000E-1	1.146118216E-1	6.008973393E-1
2.500000000E-1	1.269564435E-1	5.895603781E-1
2.600000000E-1	1.395235039E-1	5.776513924E-1
2.700000000E-1	1.517010363E-1	5.671314328E-1
2.800000000E-1	1.660822361E-1	5.538802139E-1
2.900000000E-1	1.792457351E-1	5.420839489E-1
3.000000000E-1	1.937331838E-1	5.295450996E-1
3.100000000E-1	2.090624104E-1	5.163277314E-1
3.200000000E-1	2.240096754E-1	5.034866577E-1
3.300000000E-1	2.396143374E-1	4.903962945E-1
3.400000000E-1	2.556772702E-1	4.774839630E-1
3.500000000E-1	2.724896180E-1	4.633399952E-1
3.600000000E-1	2.893015785E-1	4.488746344E-1
3.700000000E-1	3.066834611E-1	4.350018062E-1
3.800000000E-1	3.246881079E-1	4.205784010E-1
3.900000000E-1	3.428674733E-1	4.049080030E-1
4.000000000E-1	3.620876252E-1	3.931669167E-1
4.100000000E-1	3.791136038E-1	3.764168527E-1
4.200000000E-1	3.990661988E-1	3.601615248E-1
4.300000000E-1	4.194773362E-1	3.453685755E-1
4.400000000E-1	4.402659535E-1	3.308467335E-1
4.500000000E-1	4.617882354E-1	3.159922659E-1
4.600000000E-1	4.839472180E-1	3.027741732E-1
4.700000000E-1	5.068921879E-1	2.888461996E-1
4.800000000E-1	5.297980319E-1	2.745604137E-1
4.900000000E-1	5.531303868E-1	2.616419744E-1
5.000000000E-1	5.772584856E-1	2.474725816E-1
5.100000000E-1	6.012434399E-1	2.346072985E-1
5.200000000E-1	6.257176215E-1	2.212018515E-1
5.300000000E-1	6.507757002E-1	2.083534255E-1
5.400000000E-1	6.766679645E-1	1.967480304E-1
5.500000000E-1	7.030742153E-1	1.839972960E-1
5.600000000E-1	7.292014463E-1	1.726895254E-1
5.700000000E-1	7.573498640E-1	1.613288831E-1
5.800000000E-1	7.835535943E-1	1.504562223E-1
5.900000000E-1	8.109284198E-1	1.400953457E-1
6.000000000E-1	8.384305907E-1	1.285022825E-1
6.100000000E-1	8.665165605E-1	1.169997106E-1
6.200000000E-1	8.947187406E-1	1.078032294E-1
6.300000000E-1	9.232056030E-1	9.773372872E-2
6.400000000E-1	9.543339028E-1	8.642718845E-2
6.500000000E-1	9.820905405E-1	7.723107140E-2
6.600000000E-1	1.012061178E0	6.722260285E-2
6.700000000E-1	1.041338144E0	5.711855337E-2
6.800000000E-1	1.071174562E0	4.892442810E-2
6.900000000E-1	1.101895983E0	4.181117139E-2
7.000000000E-1	1.132112822E0	3.622902973E-2
7.100000000E-1	1.163539416E0	3.134786066E-2
7.200000000E-1	1.195008502E0	2.806354378E-2
7.300000000E-1	1.226815481E0	2.549598089E-2
7.400000000E-1	1.258718549E0	2.496854430E-2
7.500000000E-1	1.290751753E0	2.433180079E-2
7.600000000E-1	1.320815344E0	2.506771657E-2
