mass_A
t	x	y
0.000000000E0	-4.351383362E-2	7.801519888E-1
1.000000000E-2	-4.347201844E-2	7.801495539E-1
2.000000000E-2	-4.317002835E-2	7.800161362E-1
3.000000000E-2	-4.236571585E-2	7.791721307E-1
4.000000000E-2	-4.135896686E-2	7.780421384E-1
5.000000000E-2	-4.024251631E-2	7.766175197E-1
6.000000000E-2	-3.934243588E-2	7.744709547E-1
7.000000000E-2	-3.793533215E-2	7.717020021E-1
8.000000000E-2	-3.593375172E-2	7.681480262E-1
9.000000000E-2	-3.329900696E-2	7.646768428E-1
1.000000000E-1	-3.039917368E-2	7.603260850E-1
1.100000000E-1	-2.710553382E-2	7.562679670E-1
1.200000000E-1	-2.336045473E-2	7.515228240E-1
1.300000000E-1	-1.918760699E-2	7.462800232E-1
1.400000000E-1	-1.436623055E-2	7.401864431E-1
1.500000000E-1	-9.546537588E-3	7.340364768E-1
1.600000000E-1	-4.044892747E-3	7.276040333E-1
1.700000000E-1	1.994598273E-3	7.206721281E-1
1.800000000E-1	8.276317506E-3	7.130129308E-1
1.900000000E-1	1.482256564E-2	7.052181084E-1
2.000000000E-1	2.172588873E-2	6.969745256E-1
2.100000000E-1	2.912901660E-2	6.884990879E-1
2.200000000E-1	3.718193694E-2	6.797322482E-1
2.300000000E-1	4.601969904E-2	6.698275958E-1
2.400000000E-1	5.474198828E-2	6.606919234E-1
2.500000000E-1	6.367721138E-2	6.510312269E-1
2.600000000E-1	7.380131602E-2	6.407632464E-1
2.700000000E-1	8.424966822E-2	6.302217629E-1
2.800000000E-1	9.503842088E-2	6.198080511E-1
2.900000000E-1	1.067811994E-1	6.085919495E-1
3.000000000E-1	1.182365807E-1	5.975141646E-1
3.100000000E-1	1.306327315E-1	5.863726337E-1
3.200000000E-1	1.436541717E-1	5.745854447E-1
3.300000000E-1	1.571572405E-1	5.643400638E-1
3.400000000E-1	1.702243915E-1	5.509358841E-1
3.500000000E-1	1.843613260E-1	5.383883632E-1
3.600000000E-1	1.991432113E-1	5.255001294E-1
3.700000000E-1	2.144495086E-1	5.124763183E-1
3.800000000E-1	2.296423942E-1	4.997584410E-1
3.900000000E-1	2.452565867E-1	4.863400663E-1
4.000000000E-1	2.611551524E-1	4.730843641E-1
4.100000000E-1	2.781778875E-1	4.593817274E-1
4.200000000E-1	2.953154884E-1	4.451477924E-1
4.300000000E-1	3.124356402E-1	4.306711871E-1
4.400000000E-1	3.303071731E-1	4.162680342E-1
4.500000000E-1	3.480620912E-1	4.019156161E-1
4.600000000E-1	3.674747617E-1	3.862531510E-1
4.700000000E-1	3.850109135E-1	3.714276581E-1
4.800000000E-1	4.039638232E-1	3.564184293E-1
4.900000000E-1	4.242041853E-1	3.421291131E-1
5.000000000E-1	4.449573340E-1	3.277909653E-1
5.100000000E-1	4.663591010E-1	3.136343707E-1
5.200000000E-1	4.888625796E-1	2.999057841E-1
5.300000000E-1	5.110377814E-1	2.863255630E-1
5.400000000E-1	5.344161598E-1	2.723638646E-1
5.500000000E-1	5.572238486E-1	2.603371671E-1
5.600000000E-1	5.816956891E-1	2.454662684E-1
5.700000000E-1	6.058784472E-1	2.324464423E-1
5.800000000E-1	6.306754002E-1	2.195266333E-1
5.900000000E-1	6.556945558E-1	2.064944405E-1
6.000000000E-1	6.814393257E-1	1.946339671E-1
6.100000000E-1	7.083817489E-1	1.825069408E-1
6.200000000E-1	7.344983226E-1	1.705978189E-1
6.300000000E-1	7.628743544E-1	1.584452305E-1
6.400000000E-1	7.890076649E-1	1.480983863E-1
6.500000000E-1	8.167570550E-1	1.369675536E-1
6.600000000E-1	8.450423540E-1	1.259854305E-1
6.700000000E-1	8.733389959E-1	1.154206123E-1
6.800000000E-1	9.020255271E-1	1.049846656E-1
6.900000000E-1	9.314575429E-1	9.471543288E-2
7.000000000E-1	9.599808363E-1	8.452180841E-2
7.100000000E-1	9.892568678E-1	7.435538248E-2
7.200000000E-1	1.018037937E0	6.480406072E-2
7.300000000E-1	1.048554004E0	5.525853369E-2
7.400000000E-1	1.078531814E0	4.734514850E-2
7.500000000E-1	1.108456867E0	4.046779565E-2
7.600000000E-1	1.140406807E0	3.579644337E-2
7.700000000E-1	1.171179319E0	3.061239502E-2
7.800000000E-1	1.203158167E0	2.763796222E-2
7.900000000E-1	1.235115872E0	2.535168314E-2
8.000000000E-1	1.266691349E0	2.472208748E-2
8.100000000E-1	1.298630198E0	2.415350633E-2
8.200000000E-1	1.327745435E0	2.523661820E-2
