mass_A
t	x	y
0.000000000E0	-4.074260968E-2	7.798984634E-1
1.000000000E-2	-4.072253148E-2	7.798927417E-1
2.000000000E-2	-4.054831240E-2	7.797775021E-1
3.000000000E-2	-3.975099962E-2	7.789166814E-1
4.000000000E-2	-3.880131948E-2	7.777108269E-1
5.000000000E-2	-3.779083866E-2	7.756593459E-1
6.000000000E-2	-3.631156583E-2	7.729207907E-1
7.000000000E-2	-3.463018482E-2	7.689865379E-1
8.000000000E-2	-3.234792990E-2	7.653644281E-1
9.000000000E-2	-2.967393679E-2	7.613356360E-1
1.000000000E-1	-2.633922620E-2	7.568511992E-1
1.100000000E-1	-2.283740481E-2	7.522598764E-1
1.200000000E-1	-1.850871557E-2	7.470670209E-1
1.300000000E-1	-1.422957094E-2	7.416345713E-1
1.400000000E-1	-9.169962824E-3	7.357161529E-1
1.500000000E-1	-3.900862325E-3	7.292985670E-1
1.600000000E-1	1.572418705E-3	7.224748819E-1
1.700000000E-1	7.990961625E-3	7.146826078E-1
1.800000000E-1	1.458028998E-2	7.068502363E-1
1.900000000E-1	2.132192819E-2	6.988249121E-1
2.000000000E-1	2.901990978E-2	6.902072073E-1
2.100000000E-1	3.678203106E-2	6.818352120E-1
2.200000000E-1	4.487522347E-2	6.726774151E-1
2.300000000E-1	5.401003446E-2	6.628483746E-1
2.400000000E-1	6.301964383E-2	6.528550135E-1
2.500000000E-1	7.275982766E-2	6.431223667E-1
2.600000000E-1	8.308414473E-2	6.326646756E-1
2.700000000E-1	9.359535327E-2	6.221893938E-1
2.800000000E-1	1.044289281E-1	6.116331332E-1
2.900000000E-1	1.163360323E-1	6.003586472E-1
3.000000000E-1	1.286211374E-1	5.885439140E-1
3.100000000E-1	1.411135334E-1	5.769474549E-1
3.200000000E-1	1.534280591E-1	5.661614904E-1
3.300000000E-1	1.678241182E-1	5.530277562E-1
3.400000000E-1	1.806498108E-1	5.414506629E-1
3.500000000E-1	1.950783340E-1	5.287545011E-1
3.600000000E-1	2.103567211E-1	5.153344462E-1
3.700000000E-1	2.253372295E-1	5.026136827E-1
3.800000000E-1	2.409961633E-1	4.895862975E-1
3.900000000E-1	2.568998973E-1	4.763992489E-1
4.000000000E-1	2.735993251E-1	4.620539030E-1
4.100000000E-1	2.907246393E-1	4.480562166E-1
4.200000000E-1	3.079034813E-1	4.345531745E-1
4.300000000E-1	3.260034652E-1	4.193830435E-1
4.400000000E-1	3.435453921E-1	4.045376510E-1
4.500000000E-1	3.624413611E-1	3.924077341E-1
4.600000000E-1	3.801716039E-1	3.747696737E-1
4.700000000E-1	3.998282251E-1	3.592941475E-1
4.800000000E-1	4.200586847E-1	3.450904872E-1
4.900000000E-1	4.409064580E-1	3.296963435E-1
5.000000000E-1	4.620935291E-1	3.154568269E-1
5.100000000E-1	4.842776462E-1	3.022811862E-1
5.200000000E-1	5.066169181E-1	2.877604350E-1
5.300000000E-1	5.299372812E-1	2.740643331E-1
5.400000000E-1	5.533362289E-1	2.605974166E-1
5.500000000E-1	5.775240328E-1	2.471475834E-1
5.600000000E-1	6.015711755E-1	2.341799910E-1
5.700000000E-1	6.258928425E-1	2.204758562E-1
5.800000000E-1	6.509413378E-1	2.077651401E-1
5.900000000E-1	6.768805353E-1	1.957865247E-1
6.000000000E-1	7.029498724E-1	1.830795742E-1
6.100000000E-1	7.297146587E-1	1.717670229E-1
6.200000000E-1	7.559985490E-1	1.615053830E-1
6.300000000E-1	7.836235380E-1	1.495110093E-1
6.400000000E-1	8.114743374E-1	1.383362809E-1
6.500000000E-1	8.387494826E-1	1.264930201E-1
6.600000000E-1	8.672144762E-1	1.160051997E-1
6.700000000E-1	8.954448864E-1	1.058826147E-1
6.800000000E-1	9.237102717E-1	9.566353595E-2
6.900000000E-1	9.552478669E-1	8.521705156E-2
7.000000000E-1	9.827166814E-1	7.505221226E-2
7.100000000E-1	1.011921220E0	6.464062974E-2
7.200000000E-1	1.041467668E0	5.536244208E-2
7.300000000E-1	1.072011655E0	4.673612535E-2
7.400000000E-1	1.101754986E0	3.962981434E-2
7.500000000E-1	1.132415595E0	3.379582908E-2
7.600000000E-1	1.164385739E0	2.907027511E-2
7.700000000E-1	1.196166148E0	2.521889846E-2
7.800000000E-1	1.227738706E0	2.337659413E-2
7.900000000E-1	1.260028163E0	2.216715008E-2
8.000000000E-1	1.291545548E0	2.157326638E-2
8.100000000E-1	1.322728377E0	2.229976909E-2
