mass_A
t	x	y
1.000000000E-2	-4.676776089E-2	7.777228126E-1
2.000000000E-2	-4.599087859E-2	7.773898452E-1
3.000000000E-2	-4.430748721E-2	7.767032679E-1
4.000000000E-2	-4.315237678E-2	7.759742449E-1
5.000000000E-2	-4.091874226E-2	7.751836285E-1
6.000000000E-2	-3.856228244E-2	7.738596508E-1
7.000000000E-2	-3.590466678E-2	7.725825466E-1
8.000000000E-2	-3.282876105E-2	7.708605955E-1
9.000000000E-2	-2.865984360E-2	7.691468978E-1
1.000000000E-1	-2.508629160E-2	7.673387681E-1
1.100000000E-1	-2.127346436E-2	7.658205457E-1
1.200000000E-1	-1.694161153E-2	7.635881084E-1
1.300000000E-1	-1.273443863E-2	7.616556579E-1
1.400000000E-1	-7.804429872E-3	7.594094873E-1
1.500000000E-1	-2.635232018E-3	7.568964096E-1
1.600000000E-1	2.858616973E-3	7.543241699E-1
1.700000000E-1	8.367310429E-3	7.516259958E-1
1.800000000E-1	1.461332411E-2	7.482494817E-1
1.900000000E-1	2.065876253E-2	7.452549481E-1
2.000000000E-1	2.745589568E-2	7.415306999E-1
2.100000000E-1	3.412892135E-2	7.382879446E-1
2.200000000E-1	4.124686332E-2	7.347146489E-1
2.300000000E-1	4.817776398E-2	7.308296817E-1
2.400000000E-1	5.554565585E-2	7.266873435E-1
2.500000000E-1	6.360456804E-2	7.221894352E-1
2.600000000E-1	7.152564571E-2	7.178344278E-1
2.700000000E-1	8.042163376E-2	7.128245240E-1
2.800000000E-1	8.943765608E-2	7.076711849E-1
2.900000000E-1	9.869327521E-2	7.024841789E-1
3.000000000E-1	1.079927927E-1	6.972493707E-1
3.100000000E-1	1.174055027E-1	6.919367636E-1
3.200000000E-1	1.277103396E-1	6.858715356E-1
3.300000000E-1	1.378490055E-1	6.799857724E-1
3.400000000E-1	1.485589718E-1	6.752029293E-1
3.500000000E-1	1.609067101E-1	6.672772415E-1
3.600000000E-1	1.713354338E-1	6.608944613E-1
3.700000000E-1	1.825540822E-1	6.541453693E-1
3.800000000E-1	1.948083985E-1	6.470696735E-1
3.900000000E-1	2.068305721E-1	6.398289592E-1
4.000000000E-1	2.197153381E-1	6.324164345E-1
4.100000000E-1	2.328735606E-1	6.250221291E-1
4.200000000E-1	2.460847805E-1	6.172204189E-1
4.300000000E-1	2.596216448E-1	6.092281128E-1
4.400000000E-1	2.734577109E-1	6.009798805E-1
4.500000000E-1	2.875908663E-1	5.929132254E-1
4.600000000E-1	3.023507874E-1	5.843942181E-1
4.700000000E-1	3.167668663E-1	5.760036129E-1
4.800000000E-1	3.323454155E-1	5.671053325E-1
4.900000000E-1	3.476520182E-1	5.585227848E-1
5.000000000E-1	3.641127589E-1	5.486817997E-1
5.100000000E-1	3.786249110E-1	5.397036955E-1
5.200000000E-1	3.958331349E-1	5.300703812E-1
5.300000000E-1	4.125581473E-1	5.203659721E-1
5.400000000E-1	4.295042180E-1	5.110237744E-1
5.500000000E-1	4.469903700E-1	5.009592782E-1
5.600000000E-1	4.650189581E-1	4.905680220E-1
5.700000000E-1	4.827083836E-1	4.812786738E-1
5.800000000E-1	5.011922842E-1	4.711108535E-1
5.900000000E-1	5.202085299E-1	4.596129918E-1
6.000000000E-1	5.387905108E-1	4.489103183E-1
6.100000000E-1	5.583816440E-1	4.398199124E-1
6.200000000E-1	5.782135024E-1	4.272120959E-1
6.300000000E-1	5.973068099E-1	4.138669931E-1
6.400000000E-1	6.168308318E-1	4.011696649E-1
6.500000000E-1	6.369994921E-1	3.890636546E-1
6.600000000E-1	6.577500344E-1	3.762963277E-1
6.700000000E-1	6.781126091E-1	3.642982442E-1
6.800000000E-1	6.994474439E-1	3.517402850E-1
6.900000000E-1	7.212502969E-1	3.388869790E-1
7.000000000E-1	7.431936031E-1	3.266425801E-1
7.100000000E-1	7.665670661E-1	3.130728233E-1
7.200000000E-1	7.884096714E-1	3.010629107E-1
7.300000000E-1	8.111422736E-1	2.890516664E-1
7.400000000E-1	8.341794408E-1	2.755240075E-1
7.500000000E-1	8.572360820E-1	2.613256106E-1
7.600000000E-1	8.812781583E-1	2.474893109E-1
7.700000000E-1	9.051292475E-1	2.344656280E-1
7.800000000E-1	9.293630557E-1	2.215028109E-1
7.900000000E-1	9.540860387E-1	2.086430151E-1
8.000000000E-1	9.786065422E-1	1.929790364E-1
8.100000000E-1	1.003665189E0	1.785447561E-1
8.200000000E-1	1.028054393E0	1.635792935E-1
8.300000000E-1	1.053711902E0	1.499163278E-1
8.400000000E-1	1.079541086E0	1.352771446E-1
8.500000000E-1	1.106040518E0	1.215222141E-1
8.600000000E-1	1.132252503E0	1.083601855E-1
8.700000000E-1	1.160450542E0	9.517322206E-2
8.800000000E-1	1.187433100E0	8.226664815E-2
8.900000000E-1	1.214379417E0	6.886752703E-2
9.000000000E-1	1.243120615E0	5.628522543E-2
9.100000000E-1	1.272057551E0	4.349355197E-2
9.200000000E-1	1.300273084E0	3.177403555E-2
9.300000000E-1	1.329514333E0	1.890427714E-2
