mass_A
t	x	y
0.000000000E0	-4.497522582E-2	7.818081829E-1
1.000000000E-2	-4.400086558E-2	7.813620604E-1
2.000000000E-2	-4.193093083E-2	7.806535179E-1
3.000000000E-2	-3.934949919E-2	7.792724962E-1
4.000000000E-2	-3.660869227E-2	7.779499836E-1
5.000000000E-2	-3.350520930E-2	7.761800706E-1
6.000000000E-2	-2.899547089E-2	7.743749472E-1
7.000000000E-2	-2.529967177E-2	7.723834975E-1
8.000000000E-2	-2.104426594E-2	7.704938987E-1
9.000000000E-2	-1.697946204E-2	7.685642702E-1
1.000000000E-1	-1.212343930E-2	7.662120966E-1
1.100000000E-1	-7.032699745E-3	7.637509733E-1
1.200000000E-1	-1.752585016E-3	7.611051585E-1
1.300000000E-1	3.690192102E-3	7.584318400E-1
1.400000000E-1	9.278887432E-3	7.556700623E-1
1.500000000E-1	1.562788210E-2	7.522693911E-1
1.600000000E-1	2.198381662E-2	7.491282562E-1
1.700000000E-1	2.876598748E-2	7.455272277E-1
1.800000000E-1	3.597052403E-2	7.416679243E-1
1.900000000E-1	4.325322159E-2	7.377095751E-1
2.000000000E-1	5.074719362E-2	7.336654132E-1
2.100000000E-1	5.823121236E-2	7.297491713E-1
2.200000000E-1	6.668974572E-2	7.248025992E-1
2.300000000E-1	7.471302619E-2	7.204797858E-1
2.400000000E-1	8.376150987E-2	7.153675613E-1
2.500000000E-1	9.305292581E-2	7.101914307E-1
2.600000000E-1	1.024072231E-1	7.049358488E-1
2.700000000E-1	1.118660596E-1	6.996849135E-1
2.800000000E-1	1.220844023E-1	6.936976879E-1
2.900000000E-1	1.321345241E-1	6.878483183E-1
3.000000000E-1	1.421936013E-1	6.828289265E-1
3.100000000E-1	1.553025383E-1	6.755948020E-1
3.200000000E-1	1.655323851E-1	6.686910785E-1
3.300000000E-1	1.767572139E-1	6.619965036E-1
3.400000000E-1	1.885472121E-1	6.551893541E-1
3.500000000E-1	2.010426352E-1	6.479667157E-1
3.600000000E-1	2.132448900E-1	6.409201873E-1
3.700000000E-1	2.263135162E-1	6.334615017E-1
3.800000000E-1	2.394554896E-1	6.257951828E-1
3.900000000E-1	2.528784627E-1	6.180328137E-1
4.000000000E-1	2.665728306E-1	6.098385188E-1
4.100000000E-1	2.807140969E-1	6.016275764E-1
4.200000000E-1	2.956457849E-1	5.933296207E-1
4.300000000E-1	3.099155162E-1	5.850238871E-1
4.400000000E-1	3.250070322E-1	5.762876396E-1
4.500000000E-1	3.403593727E-1	5.671789182E-1
4.600000000E-1	3.575065497E-1	5.581633273E-1
4.700000000E-1	3.715326106E-1	5.487425795E-1
4.800000000E-1	3.880102839E-1	5.393301585E-1
4.900000000E-1	4.050160604E-1	5.295698636E-1
5.000000000E-1	4.219130014E-1	5.200701173E-1
5.100000000E-1	4.389184117E-1	5.104826858E-1
5.200000000E-1	4.567608243E-1	5.005994781E-1
5.300000000E-1	4.746634198E-1	4.902568368E-1
5.400000000E-1	4.930572724E-1	4.802781005E-1
5.500000000E-1	5.115882353E-1	4.696591143E-1
5.600000000E-1	5.301116229E-1	4.585562502E-1
5.700000000E-1	5.487885236E-1	4.483402135E-1
5.800000000E-1	5.687323609E-1	4.369019300E-1
5.900000000E-1	5.878980016E-1	4.246250388E-1
6.000000000E-1	6.073254015E-1	4.118656964E-1
6.100000000E-1	6.274931123E-1	4.004187262E-1
6.200000000E-1	6.482964726E-1	3.877464819E-1
6.300000000E-1	6.680978947E-1	3.750550631E-1
6.400000000E-1	6.895380164E-1	3.630158645E-1
6.500000000E-1	7.112609006E-1	3.499491350E-1
6.600000000E-1	7.325271292E-1	3.377968503E-1
6.700000000E-1	7.547668049E-1	3.264585591E-1
6.800000000E-1	7.771577656E-1	3.120725486E-1
6.900000000E-1	7.994711506E-1	2.997682129E-1
7.000000000E-1	8.227889997E-1	2.868185379E-1
7.100000000E-1	8.459413827E-1	2.728906405E-1
7.200000000E-1	8.690701367E-1	2.595900070E-1
7.300000000E-1	8.929844133E-1	2.465263797E-1
7.400000000E-1	9.165993570E-1	2.332688842E-1
7.500000000E-1	9.404326420E-1	2.201598947E-1
7.600000000E-1	9.662442551E-1	2.053103223E-1
7.700000000E-1	9.904534417E-1	1.920395889E-1
7.800000000E-1	1.015811844E0	1.769707984E-1
7.900000000E-1	1.040248206E0	1.620369724E-1
8.000000000E-1	1.066411526E0	1.477581699E-1
8.100000000E-1	1.092671706E0	1.335338048E-1
8.200000000E-1	1.118596612E0	1.202216656E-1
8.300000000E-1	1.146907982E0	1.075601993E-1
8.400000000E-1	1.174325007E0	9.312527789E-2
8.500000000E-1	1.201869127E0	7.983360290E-2
8.600000000E-1	1.230427246E0	6.714598770E-2
8.700000000E-1	1.259569469E0	5.407599333E-2
8.800000000E-1	1.288146731E0	4.096849456E-2
8.900000000E-1	1.318850431E0	2.822289649E-2
