mass_A
t	x	y
1.000000000E-2	-4.532091366E-2	7.811803100E-1
2.000000000E-2	-4.453099031E-2	7.809812035E-1
3.000000000E-2	-4.373034403E-2	7.811304903E-1
4.000000000E-2	-4.301628474E-2	7.808267209E-1
5.000000000E-2	-4.059590030E-2	7.797164058E-1
6.000000000E-2	-3.761106283E-2	7.784315459E-1
7.000000000E-2	-3.476413889E-2	7.771707383E-1
8.000000000E-2	-3.166930131E-2	7.758434765E-1
9.000000000E-2	-2.752115895E-2	7.735257457E-1
1.000000000E-1	-2.358458444E-2	7.716849956E-1
1.100000000E-1	-1.910284346E-2	7.698946073E-1
1.200000000E-1	-1.501543517E-2	7.679724495E-1
1.300000000E-1	-1.006893087E-2	7.656401457E-1
1.400000000E-1	-5.020355100E-3	7.631378818E-1
1.500000000E-1	3.078101287E-4	7.605205783E-1
1.600000000E-1	5.854933926E-3	7.578625013E-1
1.700000000E-1	1.146110867E-2	7.550884894E-1
1.800000000E-1	1.775491177E-2	7.516598993E-1
1.900000000E-1	2.418250887E-2	7.485172756E-1
2.000000000E-1	3.095018543E-2	7.448964544E-1
2.100000000E-1	3.755543242E-2	7.415673975E-1
2.200000000E-1	4.534205537E-2	7.373490612E-1
2.300000000E-1	5.256562034E-2	7.333277279E-1
2.400000000E-1	5.995130471E-2	7.291173377E-1
2.500000000E-1	6.773019187E-2	7.246677255E-1
2.600000000E-1	7.632905450E-2	7.199250507E-1
2.700000000E-1	8.514850857E-2	7.150646577E-1
2.800000000E-1	9.421205612E-2	7.097938341E-1
2.900000000E-1	1.034526982E-1	7.044994230E-1
3.000000000E-1	1.128875600E-1	6.992459919E-1
3.100000000E-1	1.225294429E-1	6.935108905E-1
3.200000000E-1	1.330313440E-1	6.875194568E-1
3.300000000E-1	1.429989958E-1	6.821560876E-1
3.400000000E-1	1.551585653E-1	6.762853891E-1
3.500000000E-1	1.656321988E-1	6.689492947E-1
3.600000000E-1	1.766752664E-1	6.624061283E-1
3.700000000E-1	1.886910225E-1	6.554723894E-1
3.800000000E-1	2.005264499E-1	6.482648317E-1
3.900000000E-1	2.132962645E-1	6.406657963E-1
4.000000000E-1	2.258112961E-1	6.338205655E-1
4.100000000E-1	2.390345955E-1	6.262773323E-1
4.200000000E-1	2.522895469E-1	6.185147615E-1
4.300000000E-1	2.659776438E-1	6.103864768E-1
4.400000000E-1	2.798475844E-1	6.026177050E-1
4.500000000E-1	2.939559972E-1	5.944346426E-1
4.600000000E-1	3.086435612E-1	5.858911333E-1
4.700000000E-1	3.239502818E-1	5.768769230E-1
4.800000000E-1	3.386566358E-1	5.684386396E-1
4.900000000E-1	3.544587200E-1	5.601238130E-1
5.000000000E-1	3.698690251E-1	5.500097284E-1
5.100000000E-1	3.863860005E-1	5.406144357E-1
5.200000000E-1	4.028946987E-1	5.308035516E-1
5.300000000E-1	4.196672567E-1	5.212420127E-1
5.400000000E-1	4.373064243E-1	5.117429593E-1
5.500000000E-1	4.543861013E-1	5.018747896E-1
5.600000000E-1	4.724883531E-1	4.916636258E-1
5.700000000E-1	4.908872802E-1	4.815634355E-1
5.800000000E-1	5.093828900E-1	4.711558713E-1
5.900000000E-1	5.279056176E-1	4.602052532E-1
6.000000000E-1	5.466495354E-1	4.498747344E-1
6.100000000E-1	5.672745772E-1	4.390498424E-1
6.200000000E-1	5.854917478E-1	4.263316845E-1
6.300000000E-1	6.054156448E-1	4.141959471E-1
6.400000000E-1	6.252184973E-1	4.023191051E-1
6.500000000E-1	6.451014763E-1	3.899449511E-1
6.600000000E-1	6.657552580E-1	3.771114713E-1
6.700000000E-1	6.867277634E-1	3.653361324E-1
6.800000000E-1	7.083162184E-1	3.527003507E-1
6.900000000E-1	7.300088399E-1	3.396627982E-1
7.000000000E-1	7.514791012E-1	3.276314947E-1
7.100000000E-1	7.742278829E-1	3.145961073E-1
7.200000000E-1	7.964655999E-1	3.019737242E-1
7.300000000E-1	8.194129624E-1	2.887179568E-1
7.400000000E-1	8.423198282E-1	2.753774904E-1
7.500000000E-1	8.657133411E-1	2.625000424E-1
7.600000000E-1	8.896340531E-1	2.494795230E-1
7.700000000E-1	9.134550457E-1	2.355769987E-1
7.800000000E-1	9.377261982E-1	2.219002472E-1
7.900000000E-1	9.640774325E-1	2.077233001E-1
8.000000000E-1	9.866789169E-1	1.944306735E-1
8.100000000E-1	1.012512567E0	1.797839384E-1
8.200000000E-1	1.036619639E0	1.646204506E-1
8.300000000E-1	1.062357194E0	1.507926528E-1
8.400000000E-1	1.088302918E0	1.361782298E-1
8.500000000E-1	1.114054362E0	1.226142890E-1
8.600000000E-1	1.141926354E0	1.088773814E-1
8.700000000E-1	1.169412828E0	9.586413124E-2
8.800000000E-1	1.196925682E0	8.234928959E-2
8.900000000E-1	1.224445885E0	6.944835664E-2
9.000000000E-1	1.253673021E0	5.660832121E-2
9.100000000E-1	1.282415641E0	4.356397533E-2
9.200000000E-1	1.310830124E0	3.202541944E-2
9.300000000E-1	1.337310461E0	2.027869448E-2
