mass_A
t	x	y
0.000000000E0	-5.065461948E-2	7.785297502E-1
1.000000000E-2	-5.014633371E-2	7.785652822E-1
2.000000000E-2	-4.947898192E-2	7.783363157E-1
3.000000000E-2	-4.894073565E-2	7.783955709E-1
4.000000000E-2	-4.662121648E-2	7.773408339E-1
5.000000000E-2	-4.412202364E-2	7.761140527E-1
6.000000000E-2	-4.165101023E-2	7.748368183E-1
7.000000000E-2	-3.886024658E-2	7.735393658E-1
8.000000000E-2	-3.601423112E-2	7.722223920E-1
9.000000000E-2	-3.261841654E-2	7.703634558E-1
1.000000000E-1	-2.848008167E-2	7.686115234E-1
1.100000000E-1	-2.463407599E-2	7.667900984E-1
1.200000000E-1	-2.034921003E-2	7.647761424E-1
1.300000000E-1	-1.620491853E-2	7.627936263E-1
1.400000000E-1	-1.124009011E-2	7.604053825E-1
1.500000000E-1	-6.070322945E-3	7.578759651E-1
1.600000000E-1	-6.937319236E-4	7.552516079E-1
1.700000000E-1	4.766341995E-3	7.525552221E-1
1.800000000E-1	1.061728035E-2	7.493798392E-1
1.900000000E-1	1.717835445E-2	7.462208282E-1
2.000000000E-1	2.348848733E-2	7.433794656E-1
2.100000000E-1	3.042268593E-2	7.396729770E-1
2.200000000E-1	3.758037666E-2	7.360287066E-1
2.300000000E-1	4.500329783E-2	7.318563267E-1
2.400000000E-1	5.225169497E-2	7.279371325E-1
2.500000000E-1	6.001112024E-2	7.237657468E-1
2.600000000E-1	6.856990998E-2	7.188509431E-1
2.700000000E-1	7.686586298E-2	7.143709003E-1
2.800000000E-1	8.586327783E-2	7.095644227E-1
2.900000000E-1	9.506508713E-2	7.044184678E-1
3.000000000E-1	1.044920083E-1	6.992325227E-1
3.100000000E-1	1.140330924E-1	6.939400596E-1
3.200000000E-1	1.243283145E-1	6.878219402E-1
3.300000000E-1	1.343739575E-1	6.819367946E-1
3.400000000E-1	1.447222619E-1	6.772947537E-1
3.500000000E-1	1.575429761E-1	6.697428984E-1
3.600000000E-1	1.677931159E-1	6.630298361E-1
3.700000000E-1	1.790654248E-1	6.563213129E-1
3.800000000E-1	1.914757266E-1	6.492031729E-1
3.900000000E-1	2.034602804E-1	6.421713371E-1
4.000000000E-1	2.163317886E-1	6.346322337E-1
4.100000000E-1	2.288773243E-1	6.277342309E-1
4.200000000E-1	2.422046585E-1	6.201146621E-1
4.300000000E-1	2.557100236E-1	6.120333991E-1
4.400000000E-1	2.694111372E-1	6.043818698E-1
4.500000000E-1	2.839900811E-1	5.960434250E-1
4.600000000E-1	2.981798801E-1	5.876657575E-1
4.700000000E-1	3.132644544E-1	5.792141003E-1
4.800000000E-1	3.284727878E-1	5.700239074E-1
4.900000000E-1	3.429546316E-1	5.615421467E-1
5.000000000E-1	3.609757529E-1	5.516366545E-1
5.100000000E-1	3.753201388E-1	5.422767796E-1
5.200000000E-1	3.917354339E-1	5.331010298E-1
5.300000000E-1	4.084019082E-1	5.236585330E-1
5.400000000E-1	4.257757353E-1	5.138642163E-1
5.500000000E-1	4.429049834E-1	5.042825150E-1
5.600000000E-1	4.609886637E-1	4.941798984E-1
5.700000000E-1	4.788041683E-1	4.841296495E-1
5.800000000E-1	4.970609642E-1	4.735144117E-1
5.900000000E-1	5.155751695E-1	4.630647980E-1
6.000000000E-1	5.342210902E-1	4.525676659E-1
6.100000000E-1	5.527685537E-1	4.420887251E-1
6.200000000E-1	5.721584515E-1	4.302926834E-1
6.300000000E-1	5.908965856E-1	4.188508779E-1
6.400000000E-1	6.100244848E-1	4.068176625E-1
6.500000000E-1	6.302084748E-1	3.946952708E-1
6.600000000E-1	6.505252681E-1	3.823611794E-1
6.700000000E-1	6.712650294E-1	3.698857508E-1
6.800000000E-1	6.918217076E-1	3.572450428E-1
6.900000000E-1	7.137260097E-1	3.448165687E-1
7.000000000E-1	7.349048522E-1	3.326305818E-1
7.100000000E-1	7.571533360E-1	3.207606241E-1
7.200000000E-1	7.799432173E-1	3.069811262E-1
7.300000000E-1	8.025676112E-1	2.940430143E-1
7.400000000E-1	8.257058257E-1	2.809321731E-1
7.500000000E-1	8.489577400E-1	2.680702329E-1
7.600000000E-1	8.721785811E-1	2.544835616E-1
7.700000000E-1	8.960235299E-1	2.417182333E-1
7.800000000E-1	9.207686555E-1	2.277421694E-1
7.900000000E-1	9.443171528E-1	2.145980071E-1
8.000000000E-1	9.697609417E-1	2.005506589E-1
8.100000000E-1	9.944813535E-1	1.858603319E-1
8.200000000E-1	1.019817638E0	1.708648973E-1
8.300000000E-1	1.045557322E0	1.562735885E-1
8.400000000E-1	1.071205375E0	1.421239929E-1
8.500000000E-1	1.097957703E0	1.280991543E-1
8.600000000E-1	1.123606717E0	1.147036834E-1
8.700000000E-1	1.152718777E0	1.021050063E-1
8.800000000E-1	1.179082408E0	8.769144342E-2
8.900000000E-1	1.206358164E0	7.480312007E-2
9.000000000E-1	1.234362961E0	6.195765915E-2
9.100000000E-1	1.262535698E0	4.961133502E-2
9.200000000E-1	1.291453822E0	3.674731160E-2
9.300000000E-1	1.321738114E0	2.422318329E-2
