mass_A
t	x	y
0.000000000E0	-4.952430125E-2	7.820438996E-1
1.000000000E-2	-4.921580237E-2	7.821217737E-1
2.000000000E-2	-4.857632970E-2	7.818793580E-1
3.000000000E-2	-4.796877168E-2	7.820118139E-1
4.000000000E-2	-4.740791350E-2	7.816276351E-1
5.000000000E-2	-4.665522257E-2	7.818432709E-1
6.000000000E-2	-4.449748140E-2	7.808096131E-1
7.000000000E-2	-4.190692040E-2	7.795237631E-1
8.000000000E-2	-3.931129285E-2	7.781904639E-1
9.000000000E-2	-3.651213514E-2	7.768303402E-1
1.000000000E-1	-3.343707937E-2	7.754816227E-1
1.100000000E-1	-3.012802273E-2	7.737098850E-1
1.200000000E-1	-2.563812164E-2	7.719259421E-1
1.300000000E-1	-2.193635469E-2	7.700758485E-1
1.400000000E-1	-1.738727305E-2	7.681341388E-1
1.500000000E-1	-1.266293423E-2	7.656983082E-1
1.600000000E-1	-8.106312762E-3	7.635234022E-1
1.700000000E-1	-3.081159225E-3	7.610429664E-1
1.800000000E-1	2.287941585E-3	7.584437063E-1
1.900000000E-1	8.346199495E-3	7.552748123E-1
2.000000000E-1	1.431947237E-2	7.519816626E-1
2.100000000E-1	2.117906246E-2	7.484954429E-1
2.200000000E-1	2.761390437E-2	7.451525707E-1
2.300000000E-1	3.471383316E-2	7.417128714E-1
2.400000000E-1	4.178892672E-2	7.377961839E-1
2.500000000E-1	4.906553387E-2	7.337402630E-1
2.600000000E-1	5.666054229E-2	7.294955828E-1
2.700000000E-1	6.501386281E-2	7.248835683E-1
2.800000000E-1	7.303301107E-2	7.206217584E-1
2.900000000E-1	8.202724939E-2	7.155657953E-1
3.000000000E-1	9.114897700E-2	7.103386437E-1
3.100000000E-1	1.004375546E-1	7.051303568E-1
3.200000000E-1	1.098467913E-1	6.998913989E-1
3.300000000E-1	1.193995262E-1	6.945501120E-1
3.400000000E-1	1.297910924E-1	6.884973174E-1
3.500000000E-1	1.398514268E-1	6.828875052E-1
3.600000000E-1	1.520984396E-1	6.769983388E-1
3.700000000E-1	1.625606654E-1	6.696535103E-1
3.800000000E-1	1.735933964E-1	6.634115710E-1
3.900000000E-1	1.849609932E-1	6.565577649E-1
4.000000000E-1	1.973188731E-1	6.493791326E-1
4.100000000E-1	2.098432920E-1	6.416691737E-1
4.200000000E-1	2.224730313E-1	6.345171748E-1
4.300000000E-1	2.358991917E-1	6.269983930E-1
4.400000000E-1	2.492542700E-1	6.191525160E-1
4.500000000E-1	2.628183861E-1	6.113049221E-1
4.600000000E-1	2.769014743E-1	6.032370751E-1
4.700000000E-1	2.915789585E-1	5.948540269E-1
4.800000000E-1	3.058299352E-1	5.864382192E-1
4.900000000E-1	3.208862589E-1	5.776773781E-1
5.000000000E-1	3.362912995E-1	5.684214872E-1
5.100000000E-1	3.514976737E-1	5.604046021E-1
5.200000000E-1	3.675111457E-1	5.500797417E-1
5.300000000E-1	3.836314687E-1	5.406899179E-1
5.400000000E-1	4.007246154E-1	5.309094873E-1
5.500000000E-1	4.174912832E-1	5.213064919E-1
5.600000000E-1	4.345938947E-1	5.116985588E-1
5.700000000E-1	4.523800082E-1	5.017899754E-1
5.800000000E-1	4.705363127E-1	4.915867670E-1
5.900000000E-1	4.881238304E-1	4.819634169E-1
6.000000000E-1	5.071297283E-1	4.707968533E-1
6.100000000E-1	5.258532121E-1	4.600156640E-1
6.200000000E-1	5.447415389E-1	4.498138768E-1
6.300000000E-1	5.651773866E-1	4.390694218E-1
6.400000000E-1	5.839537670E-1	4.263602506E-1
6.500000000E-1	6.034017512E-1	4.133966385E-1
6.600000000E-1	6.233962282E-1	4.016878800E-1
6.700000000E-1	6.436466859E-1	3.895288186E-1
6.800000000E-1	6.638737418E-1	3.763026941E-1
6.900000000E-1	6.848603251E-1	3.641670533E-1
7.000000000E-1	7.064254353E-1	3.516953027E-1
7.100000000E-1	7.284667435E-1	3.389781799E-1
7.200000000E-1	7.501170394E-1	3.273517710E-1
7.300000000E-1	7.735003704E-1	3.129451271E-1
7.400000000E-1	7.957835904E-1	3.010465323E-1
7.500000000E-1	8.191146840E-1	2.879241658E-1
7.600000000E-1	8.422470137E-1	2.738852621E-1
7.700000000E-1	8.653171507E-1	2.602030869E-1
7.800000000E-1	8.893514716E-1	2.472908873E-1
7.900000000E-1	9.130900231E-1	2.340581647E-1
8.000000000E-1	9.381743947E-1	2.201639732E-1
8.100000000E-1	9.642600053E-1	2.058712086E-1
8.200000000E-1	9.865175073E-1	1.928464146E-1
8.300000000E-1	1.010808615E0	1.784930491E-1
8.400000000E-1	1.035226414E0	1.638530166E-1
8.500000000E-1	1.061070924E0	1.499147498E-1
8.600000000E-1	1.086738638E0	1.354642034E-1
8.700000000E-1	1.112728479E0	1.220103656E-1
8.800000000E-1	1.140640306E0	1.083292292E-1
8.900000000E-1	1.167778541E0	9.546323225E-2
9.000000000E-1	1.194890313E0	8.188576584E-2
9.100000000E-1	1.222171332E0	6.989334401E-2
9.200000000E-1	1.250986549E0	5.669675492E-2
9.300000000E-1	1.279291146E0	4.416955412E-2
9.400000000E-1	1.308851684E0	3.137129977E-2
9.500000000E-1	1.335538589E0	1.982974809E-2
